id,ciudad,hora_tomada,temperatura,sensación_térmica,info,presión,humedad
70,Tokio,2023-08-22 00:49:50,27,31,broken clouds,1010,90
71,Tokio,2023-08-21 00:49:51,28,34,clear sky,1010,85
87,Tokio,2023-08-23 00:51:09,26,30,broken clouds,1011,96
88,Tokio,2023-08-22 00:51:09,26,30,broken clouds,1009,90
89,Tokio,2023-08-21 00:51:12,29,36,clear sky,1010,85
105,Tokio,2023-08-23 00:52:23,26,30,broken clouds,1011,96
106,Tokio,2023-08-22 00:52:25,26,30,broken clouds,1009,90
107,Tokio,2023-08-21 00:52:27,29,36,clear sky,1010,85
